bairro,distrito
AFLITOS,DS III
AGUA FRIA,DS II
ALTO DO MANDU,DS VIII
ALTO JOSE BONIFACIO,DS VIII
ALTO JOSE DO PINHO,DS III
APIPUCOS,DS VII
AREIAS,DS V
ARRUDA,DS II
BAIRRO NOVO,DS II
BARRO,DS V
BEBERIBE,DS II
BOA VIAGEM,DS VI
BOA VISTA,DS I
BOMBA DO HEMETÉRIO,DS II
BOMBA DO HEMETÉRIO,DS II
BONGI,DS V
BRASILIA TEIMOSA,DS VI
BREJO DA GUABIRABA,DS VIII
BREJO DE BEBERIBE,DS II
CABANGA,DS I
CACOTE,DS V
CAJUEIRO,DS II
CAMPINA DO BARRETO,DS II
CASA AMARELA,DS VIII
CASA FORTE,DS VII
CIDADE UNIVERSITARIA,DS IV
COELHOS,DS I
COHAB,DS VI
CORDEIRO,DS IV
COQUEIRAL,DS V
CORREGO DO JENIPAPO,DS VIII
CURADO,DS V
DERBY,DS III
DOIS IRMAOS,DS VII
DOIS UNIDOS,DS II
ENCRUZILHADA,DS III
ESPIRITO SANTO,DS III
ESPINHEIRO,DS III
ESTANCIA,DS V
FUNDAO,DS II
GRACAS,DS III
GUABIRABA,DS VIII
IBURA,DS VI
ILHA DO LEITE,DS I
ILHA DO RETIRO,DS IV
IMBIRIBEIRA,DS VI
IPSEP,DS VI
IPUTINGA,DS IV
JAQUEIRA,DS III
JARDIM SAO PAULO,DS V
JIQUA,DS V
JOANA BEZERRA,DS I
JORDAO,DS VI
LINHA DO TIRO,DS II
MACAXEIRA,DS VIII
MADALENA,DS IV
MANGABEIRA,DS VIII
MANGUEIRA,DS V
MANGUINHOS,DS III
MONTEIRO,DS VII
MORRO DA CONCEICAO,DS VIII
MUSTARDINHA,DS V
NOVA DESCOBERTA,DS VIII
PAISSANDU,DS I
PARNAMIRIM,DS III
PASSARINHO,DS VIII
PAU FERRO,DS II
PEIXINHOS,DS III
PINA,DS VI
PORTO DA MADEIRA,DS II
PRADO,DS IV
RECIFE,DS I
ROSARINHO,DS III
SAN MARTIN,DS V
SANTA TERESINHA,DS III
SANTANA,DS III
SANTO ANTONIO,DS I
SAO JOSE,DS I
SITIO DOS PINTOS,DS VII
SOLEDADE,DS I
TAMARINEIRA,DS III
TEJIPIAO,DS V
TIMBI,DS II
TORRE,DS IV
TORROES,DS IV
TOTO,DS V
VASCO DA GAMA,DS III
VARZEA,DS IV
ZUMBI DO PACHECO,DS V
