official,lat,lon
Afogados,-8.0836,-34.9116
Aflitos,-8.047,-34.8998
Água Fria,-7.989,-34.9049
Aguazinha,-8.0252,-34.9348
Alto do Mandu,-8.072,-34.9308
Alto José Bonifácio,-7.9998,-34.9248
Alto José do Pinho,-8.0078,-34.9148
Alto Santa Terezinha,-8.0618,-34.9348
Apipucos,-8.0268,-34.9148
Areias,-8.0948,-34.9248
Arruda,-8.0108,-34.9008
Bairro do Recife,-8.0628,-34.8718
Bairro Novo,-7.9728,-34.8648
Boa Viagem,-8.1218,-34.9068
Boa Vista,-8.0548,-34.8908
Bomba do Hemetério,-8.0088,-34.8928
Bongi,-8.0818,-34.9178
Brejo da Guabiraba,-8.0038,-34.9278
Brejo de Beberibe,-7.9868,-34.8908
Brasília Teimosa,-8.0948,-34.8968
Cabanga,-8.0778,-34.8878
Cajueiro,-8.0148,-34.9318
Cajueiro Seco,-8.1148,-34.9498
Campina do Barreto,-8.0128,-34.9028
Campo Grande,-8.0058,-34.9208
Caçote,-8.1018,-34.9308
Casa Amarela,-8.0048,-34.9218
Casa Forte,-8.0218,-34.9128
Caxangá,-8.0488,-34.9468
Centro,-8.0578,-34.8828
Coelhos,-8.0668,-34.8838
Cohab,-8.0608,-34.9558
Cordeiro,-8.0668,-34.9208
Córrego do Jenipapo,-8.0928,-34.9428
Curado,-8.0888,-34.9508
Derby,-8.0528,-34.8968
Dois Irmãos,-7.9988,-34.9278
Dois Unidos,-7.9928,-34.9068
Encruzilhada,-8.0218,-34.9018
Engenho do Meio,-8.0568,-34.9318
Espinheiro,-8.0378,-34.9028
Estância,-8.0048,-34.9468
Fundão,-7.9848,-34.9068
Graças,-8.0428,-34.9038
Guabiraba,-8.0108,-34.9368
Guararapes,-8.1028,-34.9208
Hipódromo,-8.0468,-34.9098
Ibura,-8.1148,-34.9308
Ilha do Leite,-8.0618,-34.8878
Ilha do Retiro,-8.0808,-34.8998
Ilha Joana Bezerra,-8.0768,-34.8938
Imbiribeira,-8.1068,-34.9148
IPSEP,-8.1068,-34.9348
Iputinga,-8.0558,-34.9378
Jaqueira,-8.0308,-34.9098
Jardim São Paulo,-7.9978,-34.9148
Jiquia,-8.1028,-34.9168
Jordão,-8.1038,-34.9398
Linha do Tiro,-8.0008,-34.9078
Macaxeira,-8.0038,-34.9318
Madalena,-8.0568,-34.9178
Mangabeira,-8.0888,-34.9268
Mangueira,-8.0148,-34.9058
Monteiro,-8.0468,-34.9148
Morro da Conceição,-8.0168,-34.9178
Mustardinha,-8.0808,-34.9248
Nossa Senhora do Ó,-8.0078,-34.9308
Nova Descoberta,-8.0098,-34.9228
Ouro Preto,-8.0568,-34.9458
Paissandu,-8.0628,-34.8878
Parnamirim,-8.0448,-34.9198
Passarinho,-7.9798,-34.9068
Pau Amarelo,-7.9688,-34.8778
Peixinhos,-7.9988,-34.8948
Piedade,-8.1028,-34.9258
Pina,-8.1018,-34.8998
Prado,-8.0698,-34.9138
Rosarinho,-8.0278,-34.9028
San Martin,-8.0028,-34.9268
Sancho,-8.0868,-34.9418
Santana,-8.0688,-34.9118
Santo Amaro,-8.0638,-34.8958
Santo Antônio,-8.0618,-34.8788
Santo Aleixo,-8.0918,-34.9498
São José,-8.0638,-34.8728
Sítio dos Pintos,-8.0098,-34.9408
Soledade,-8.0548,-34.8968
Sucupira,-8.0928,-34.9348
Tamarineira,-8.0308,-34.9028
Tejipió,-8.0878,-34.9388
Torreão,-8.0298,-34.9038
Torre,-8.0588,-34.9148
Torrões,-8.0608,-34.9248
Totó,-8.0748,-34.9348
Vasco da Gama,-8.0128,-34.9138
Várzea,-8.0388,-34.9548
Vista Alegre,-8.0148,-34.9098
Zumbi,-8.0078,-34.9248
Barro,-8.1078,-34.9418
Prazeres,-8.1148,-34.9448
Janga,-7.9638,-34.8618
Barra de Jangada,-8.1268,-34.9318
Jardim Jordão,-8.1068,-34.9448
Zumbi do Pacheco,-8.0098,-34.9348
Pixete,-8.0188,-34.9308
Ponte dos Carvalhos,-8.1348,-34.9398
Jardim Brasil,-7.9968,-34.9178
Timbi,-8.0268,-34.9528
Marcos Freire,-8.0148,-34.9318
Paratibe,-7.9668,-34.8788
Muribeca,-8.1118,-34.9538
Rio Doce,-7.9998,-34.8858
Vila Rica,-8.0268,-34.9228
Capibaribe,-8.0408,-34.9328
Tejipio,-8.0878,-34.9388
