raw,n,official,score,lat,lon
CENTRO,306,Centro,100.0,-8.0578,-34.8828
BOA VIAGEM,96,Boa Viagem,100.0,-8.1218,-34.9068
COHAB,91,Cohab,100.0,-8.0608,-34.9558
VARZEA,67,Várzea,100.0,-8.0388,-34.9548
IBURA,58,Ibura,100.0,-8.1148,-34.9308
IPUTINGA,52,Iputinga,100.0,-8.0558,-34.9378
AGUA FRIA,44,Água Fria,100.0,-7.989,-34.9049
IMBIRIBEIRA,42,Imbiribeira,100.0,-8.1068,-34.9148
CASA AMARELA,39,Casa Amarela,100.0,-8.0048,-34.9218
NOVA DESCOBERTA,39,Nova Descoberta,100.0,-8.0098,-34.9228
SANTO AMARO,38,Santo Amaro,100.0,-8.0638,-34.8958
AREIAS,37,Areias,100.0,-8.0948,-34.9248
VASCO DA GAMA,35,Vasco da Gama,100.0,-8.0128,-34.9138
CORDEIRO,35,Cordeiro,100.0,-8.0668,-34.9208
DOIS UNIDOS,33,Dois Unidos,100.0,-7.9928,-34.9068
CAMPO GRANDE,33,Campo Grande,100.0,-8.0058,-34.9208
PINA,32,Pina,100.0,-8.1018,-34.8998
CURADO,32,Curado,100.0,-8.0888,-34.9508
MADALENA,29,Madalena,100.0,-8.0568,-34.9178
JARDIM SAO PAULO,28,Jardim São Paulo,100.0,-7.9978,-34.9148
SAN MARTIN,28,San Martin,100.0,-8.0028,-34.9268
BOA VISTA,27,Boa Vista,100.0,-8.0548,-34.8908
PIEDADE,26,Piedade,100.0,-8.1028,-34.9258
CANDEIAS,26,Guararapes,100.0,-8.1028,-34.9208
JORDAO,25,Jordão,100.0,-8.1038,-34.9398
AFOGADOS,24,Afogados,100.0,-8.0836,-34.9116
TORROES,23,Torrões,100.0,-8.0608,-34.9248
TAMARINEIRA,23,Tamarineira,100.0,-8.0308,-34.9028
BARRO,23,Barro,100.0,-8.1078,-34.9418
CAJUEIRO SECO,22,Cajueiro Seco,100.0,-8.1148,-34.9498
IPSEP,22,IPSEP,100.0,-8.1068,-34.9348
MACAXEIRA,22,Macaxeira,100.0,-8.0038,-34.9318
MORRO DA CONCEICAO,20,Morro da Conceição,100.0,-8.0168,-34.9178
PRAZERES,19,Prazeres,100.0,-8.1148,-34.9448
TORRE,19,Torre,100.0,-8.0588,-34.9148
GRACAS,19,Graças,100.0,-8.0428,-34.9038
VILA RICA,18,Casa Amarela,100.0,-8.0048,-34.9218
TEJIPIO,18,Tejipió,100.0,-8.0878,-34.9388
OURO PRETO,17,Ouro Preto,100.0,-8.0568,-34.9458
ILHA JOANA BEZERRA,17,Ilha Joana Bezerra,100.0,-8.0768,-34.8938
JANGA,17,Passarinho,100.0,-7.9798,-34.9068
BARRA DE JANGADA,16,Barro,100.0,-8.1078,-34.9418
SANTO ALEIXO,16,Santo Aleixo,100.0,-8.0918,-34.9498
PRADO,16,Prado,100.0,-8.0698,-34.9138
LINHA DO TIRO,16,Linha do Tiro,100.0,-8.0008,-34.9078
CAPIBARIBE,15,Iputinga,100.0,-8.0558,-34.9378
ARRUDA,14,Arruda,100.0,-8.0108,-34.9008
SANTO ANTONIO,14,Santo Antônio,100.0,-8.0618,-34.8788
RIO DOCE,14,Rio Doce,100.0,-7.9998,-34.8858
JARDIM JORDAO,14,Jordão,100.0,-8.1038,-34.9398
ALTO DO MANDU,14,Alto do Mandu,100.0,-8.072,-34.9308
ZUMBI DO PACHECO,14,Zumbi,100.0,-8.0078,-34.9248
PASSARINHO,13,Passarinho,100.0,-7.9798,-34.9068
BREJO DA GUABIRABA,13,Brejo da Guabiraba,100.0,-8.0038,-34.9278
PIXETE,12,Mangueira,100.0,-8.0148,-34.9058
BOMBA DO HEMETERIO,12,Bomba do Hemetério,100.0,-8.0088,-34.8928
MANGUEIRA,12,Mangueira,100.0,-8.0148,-34.9058
NOSSA SENHORA DO O,12,Nossa Senhora do Ó,100.0,-8.0078,-34.9308
CAMPINA DO BARRETO,12,Campina do Barreto,100.0,-8.0128,-34.9028
GUARARAPES,12,Guararapes,100.0,-8.1028,-34.9208
MUSTARDINHA,12,Mustardinha,100.0,-8.0808,-34.9248
CAVALEIRO,12,Madalena,100.0,-8.0568,-34.9178
ALTO JOSE DO PINHO,11,Alto José do Pinho,100.0,-8.0078,-34.9148
ENGENHO DO MEIO,11,Engenho do Meio,100.0,-8.0568,-34.9318
BRASILIA TEIMOSA,11,Brasília Teimosa,100.0,-8.0948,-34.8968
ENCRUZILHADA,11,Encruzilhada,100.0,-8.0218,-34.9018
PONTE DOS CARVALHOS,11,Ponte dos Carvalhos,100.0,-8.1348,-34.9398
PEIXINHOS,10,Peixinhos,100.0,-7.9988,-34.8948
JARDIM PAULISTA,10,Jardim São Paulo,83.87096774193549,-7.9978,-34.9148
COQUEIRAL,10,Cajueiro Seco,100.0,-8.1148,-34.9498
ALTO JOSE BONIFACIO,10,Alto José Bonifácio,100.0,-7.9998,-34.9248
SAO JOSE,10,São José,100.0,-8.0638,-34.8728
AGUAS COMPRIDAS,10,Areias,100.0,-8.0948,-34.9248
JARDIM BRASIL,10,Jardim Brasil,100.0,-7.9968,-34.9178
BONGI,10,Bongi,100.0,-8.0818,-34.9178
CAXANGA,9,Caxangá,100.0,-8.0488,-34.9468
BAIRRO NOVO,9,Bairro Novo,100.0,-7.9728,-34.8648
CAJUEIRO,9,Cajueiro,100.0,-8.0148,-34.9318
SUCUPIRA,9,Sucupira,100.0,-8.0928,-34.9348
SANCHO,9,Sancho,100.0,-8.0868,-34.9418
ESPINHEIRO,9,Espinheiro,100.0,-8.0378,-34.9028
TIMBI,9,Várzea,100.0,-8.0388,-34.9548
CASA FORTE,9,Casa Forte,100.0,-8.0218,-34.9128
ROSARINHO,9,Rosarinho,100.0,-8.0278,-34.9028
MARCOS FREIRE,9,Vasco da Gama,100.0,-8.0128,-34.9138
JIQUIA,9,Jiquia,100.0,-8.1028,-34.9168
SANTANA,9,Santana,100.0,-8.0688,-34.9118
MURIBECA,8,Ibura,100.0,-8.1148,-34.9308
PARATIBE,8,Passarinho,100.0,-7.9798,-34.9068
BEBERIBE,8,Brejo de Beberibe,100.0,-7.9868,-34.8908
SOCORRO,8,Afogados,100.0,-8.0836,-34.9116
FRAGOSO,8,Fundão,100.0,-7.9848,-34.9068
PAU AMARELO,8,Pau Amarelo,100.0,-7.9688,-34.8778
FUNDAO,7,Fundão,100.0,-7.9848,-34.9068
ZUMBI,7,Zumbi,100.0,-8.0078,-34.9248
CORREGO DO JENIPAPO,7,Córrego do Jenipapo,100.0,-8.0928,-34.9428
BAIRRO NOVO DO CARMELO,7,Bairro Novo,100.0,-7.9728,-34.8648
TABAJARA,7,Bairro Novo,100.0,-7.9728,-34.8648
JARDIM ATLANTICO,7,Bairro Novo,100.0,-7.9728,-34.8648
PARNAMIRIM,7,Parnamirim,100.0,-8.0448,-34.9198
NOBRE,6,Encruzilhada,100.0,-8.0218,-34.9018
ENGENHO VELHO,6,Engenho do Meio,100.0,-8.0568,-34.9318
JAQUEIRA,6,Jaqueira,100.0,-8.0308,-34.9098
SUAPE,6,Guararapes,100.0,-8.1028,-34.9208
